"Source","Target"
1,2
2,1
1,6
6,1
2,3
3,2
2,7
7,2
3,4
4,3
3,8
8,3
4,5
5,4
4,9
9,4
5,10
10,5
6,7
7,6
6,11
11,6
7,8
8,7
7,12
12,7
8,9
9,8
8,13
13,8
9,10
10,9
9,14
14,9
10,15
15,10
11,12
12,11
11,16
16,11
12,13
13,12
12,17
17,12
13,14
14,13
13,18
18,13
14,15
15,14
14,19
19,14
15,20
20,15
16,17
17,16
16,21
21,16
17,18
18,17
17,22
22,17
18,19
19,18
18,23
23,18
19,20
20,19
19,24
24,19
20,25
25,20
21,22
22,21
21,26
26,21
22,23
23,22
22,27
27,22
23,24
24,23
23,28
28,23
24,25
25,24
24,29
29,24
25,30
30,25
26,27
27,26
26,31
31,26
27,28
28,27
27,32
32,27
28,29
29,28
28,33
33,28
29,30
30,29
29,34
34,29
30,35
35,30
31,32
32,31
32,33
33,32
33,34
34,33
34,35
35,34
